time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.91316264232e-07,-8.80599143215e-08,10.0034231925,6.28292369758,0.000600808074049,0.0,-6.30200304157e-05,-1.46154847674e-05,0.114101070075,-0.0149413060256,0.0248815884287,0.0,440.7456605704104,442.79685327153203,441.5464756370921,440.31242022517563
0.12000000000000001,-2.28789841212e-05,-9.8471840682e-06,10.0133480108,6.28165544568,0.00221945796009,0.0,-0.000832838829477,-0.000417003591333,0.216711341193,-0.0379337146953,0.0308698934242,0.0,437.6255287761167,438.1237860846831,438.5815736655489,436.6680006224373
0.18,-0.000123299223342,-7.27476219545e-05,10.0281340907,6.27895618965,0.00460890616703,0.0,-0.0027221646997,-0.00191245346081,0.276143826656,-0.0653557036506,0.0534717702206,0.0,423.9662432668093,425.90425105936515,424.030858504537,421.667450972027
0.23999999999999996,-0.000398661522963,-0.000293801915581,10.048505861,6.27507997305,0.00814095649369,0.0,-0.00681537393455,-0.00586893644349,0.402873992415,-0.0631410112608,0.0679161842348,0.0,444.77299041427204,445.9565861462462,445.3589051049503,445.53692457734564
0.3,-0.000969297663556,-0.000805673955158,10.0731857261,6.27156189311,0.0123524297854,0.0,-0.0125777718684,-0.0115199648845,0.419775322264,-0.0508786196828,0.0743897498822,0.0,409.7085208358787,410.2877828335664,409.2261030330341,410.3132236466527
0.36000000000000004,-0.00199817162095,-0.00175044352191,10.1015245115,6.26861273366,0.0166448264009,0.0,-0.0221680882363,-0.0202799111172,0.524797645021,-0.0459077947151,0.0651290145422,0.0,440.06109288001306,439.2979514084319,437.57688578460034,437.9888810713612
0.4200000000000001,-0.00372523512491,-0.00331091479721,10.1381999663,6.2664964802,0.0206497964105,0.0,-0.0358456672623,-0.0320025919678,0.697615058405,-0.0197173708092,0.0698065813306,0.0,458.91866114330156,459.2929001832771,459.45927321393066,461.53006790620907
0.48000000000000015,-0.00627584139375,-0.00554651306758,10.1810589811,6.2648602915,0.0246883552461,0.0,-0.0495537465468,-0.0426397562155,0.730986895078,-0.050026422681,0.0617807250242,0.0,415.93470512039823,415.23504191893153,417.37466676665787,414.7209217745844
0.5400000000000001,-0.00987470859289,-0.00857026262563,10.2319043835,6.26188769515,0.0284115235391,0.0,-0.0708564005158,-0.0585119527888,0.963673018527,-0.0485943906768,0.0625912442116,0.0,478.1070339665731,478.1712482830557,477.50333902647503,477.6112078227163
0.6000000000000002,-0.0148222700036,-0.0126025418724,10.2959620444,6.25928535108,0.0323593697681,0.0,-0.0945121587367,-0.0762165116608,1.17137040758,-0.0345701719585,0.071539628831,0.0,470.0875365737449,470.7832698086434,470.9111024788574,471.9935669615219
0.6600000000000003,-0.02114177526,-0.0176501662266,10.3681336414,6.25746691053,0.0367982642394,0.0,-0.116557944575,-0.0922226285971,1.23426283653,-0.0229151157431,0.0784633568655,0.0,426.4755256450466,427.07093425008526,425.8295020328728,426.8248710801459
0.7200000000000003,-0.0290682637406,-0.0238260806921,10.4492632692,6.25619158463,0.041812849998,0.0,-0.148243828887,-0.113795268604,1.46975519321,-0.0181273786854,0.0922197029582,0.0,479.54259062087,480.59136240802985,479.2070992101699,479.5708944326987
0.7800000000000004,-0.0389110435399,-0.0312548047254,10.5418934211,6.25548652422,0.0469173695258,0.0,-0.180428329244,-0.133918372337,1.61768670157,-0.00134541408335,0.0643049948601,0.0,454.6033216489836,452.3667479517138,454.41056953537577,455.75385236272854
0.8400000000000004,-0.0507649454771,-0.0398877031588,10.6428482802,6.25537642774,0.050795687817,0.0,-0.215105085186,-0.153849728272,1.74726143459,-0.00283250048426,0.0652973981482,0.0,448.77246700078376,448.85603087800314,449.47055048864314,449.3500640668026
0.9000000000000005,-0.0647962311199,-0.049725568101,10.751815428,6.25553252387,0.0549474715362,0.0,-0.253029268984,-0.174071867509,1.88473186558,0.0117084698244,0.0760306440292,0.0,452.1399226740123,453.0072650938041,450.87308082078727,452.0462276896622
0.9600000000000005,-0.0812060121396,-0.0607740808365,10.8691632765,6.2559091987,0.0608216438395,0.0,-0.294535661402,-0.194143250688,2.02658352452,-0.00773381994272,0.123134667166,0.0,451.76744783709347,455.55649590301084,454.9063911542989,453.3469050384964
1.0200000000000005,-0.100429358673,-0.0731044698575,10.9979838093,6.25549632101,0.0681139071258,0.0,-0.347117085368,-0.216910278588,2.26691897114,-0.00522848850179,0.118139151427,0.0,483.4638791770695,483.09940678276297,484.2401626282009,484.4286900286977
1.0800000000000005,-0.122482266168,-0.0866085020223,11.1339362325,6.25501733394,0.0755223450065,0.0,-0.388612857483,-0.23325757136,2.26477718587,-0.0141567428576,0.132431674935,0.0,408.4071789780505,409.6950590738081,409.53264472615166,408.73785473440654
1.1400000000000006,-0.147339533435,-0.101169998424,11.2721004147,6.2541515755,0.0831391643506,0.0,-0.440721406611,-0.252204611175,2.34046651732,-0.0149800643788,0.112769443451,0.0,435.7377072249664,434.1057921452774,435.09567163089696,435.0268429286549
1.2000000000000006,-0.175621742608,-0.116937373505,11.4165701101,6.25279853219,0.0898552108503,0.0,-0.50271898765,-0.273477363411,2.47482484771,-0.0454017036101,0.110210408899,0.0,453.9178211259914,453.7232519197755,455.27838374941945,452.8377261954494
1.2600000000000007,-0.207925265816,-0.134068816441,11.5707755497,6.25078628421,0.0972758840982,0.0,-0.574847199719,-0.297820598309,2.66482323298,-0.0166852245282,0.142111375138,0.0,470.43700797389283,472.91294059044094,470.30466684065453,472.52301204521893
